
 RUN  v3.1.4 /Users/arnaud/code/viborm

(node:99615) DeprecationWarning: Calling client.query() when the client is already executing a query is deprecated and will be removed in pg@9.0. Use async/await or an external async flow control mechanism instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
 ✓ |provider-pg| tests/providers/docker/pg-polymorphism-ddl.test.ts (60 tests) 101881ms
   ✓ pg Driver > pg foreign-key index > push creates an index over the manyToOne FK column  1066ms
   ✓ pg Driver > pg foreign-key index > re-pushing the schema is not an index change  1272ms
   ✓ pg Driver > pg foreign-key index > re-pushing the schema is not a foreign-key change  1770ms
   ✓ pg Driver > pg foreign-key index > a declared .index() on the FK column is not duplicated  1318ms
   ✓ pg Driver > pg foreign-key index > a wider declared index over the FK columns replaces it in one push  1370ms
   ✓ pg Driver > pg foreign-key index > a compound unique over the FK columns replaces it in one push  1344ms
   ✓ pg Driver > pg declared index on a mapped field > push creates the index over the mapped column names  981ms
   ✓ pg Driver > pg declared index on a mapped field > re-pushing the schema is not an index change  1167ms
   ✓ pg Driver > pg declared index on a mapped field > the declared index leaves the FK index nothing to add  996ms
   ✓ pg Driver > pg compound junction storage > round-trips two complete string-key sides and their cascade  1286ms
   ✓ pg Driver > pg polymorphic member junction storage > creates, enforces and converges the member tables  1345ms
   ✓ pg Driver > pg partial index predicate churn > re-pushing the same declaration is not an index change  1380ms
   ✓ pg Driver > pg partial index predicate churn > the same predicate in another spelling is not an index change  1319ms
   ✓ pg Driver > pg partial index predicate churn > a real predicate change is still an index change  1527ms
   ✓ pg Driver > pg partial index predicate churn > a canonicalization that fails answers nothing, and the change stands  1135ms
   ✓ pg Driver > pg (tx) forward-ref FK push ordering > simple forward ref: push creates every table + FK round-trips  1024ms
   ✓ pg Driver > pg (tx) forward-ref FK push ordering > multi-model forward chain: push + create through the chain  1014ms
   ✓ pg Driver > pg (tx) forward-ref FK push ordering > self reference: push + parent/child round-trip  1008ms
   ✓ pg Driver > pg (tx) forward-ref FK push ordering > idempotency: re-pushing a forward-ref schema does not recreate tables  1733ms
   ✓ pg Driver > pg (batch) forward-ref FK push ordering > simple forward ref: push creates every table + FK round-trips  1294ms
   ✓ pg Driver > pg (batch) forward-ref FK push ordering > multi-model forward chain: push + create through the chain  1163ms
   ✓ pg Driver > pg (batch) forward-ref FK push ordering > self reference: push + parent/child round-trip  963ms
   ✓ pg Driver > pg (batch) forward-ref FK push ordering > idempotency: re-pushing a forward-ref schema does not recreate tables  1173ms
   ✓ pg Driver > pg polymorphic relations > direct writes preserve the generated private storage pair  1080ms
   ✓ pg Driver > pg polymorphic relations > inverse create publishes a generated parent identity  1025ms
   ✓ pg Driver > pg polymorphic relations > direct and inverse reads correlate exact variants without N+1  1140ms
   ✓ pg Driver > pg polymorphic relations > target-local omit subtracts from polymorphic select  1378ms
   ✓ pg Driver > pg polymorphic relations > inverse reads use the generated discriminator/id index  1304ms
   ✓ pg Driver > pg polymorphic relations > empty storage is optional but orphaned membership is invalid  1305ms
   ✓ pg Driver > pg polymorphic collection reads > an empty collection reads as a fresh empty array, never null  1841ms
   ✓ pg Driver > pg polymorphic collection reads > mixed variants flatten in DECLARATION order, tagged correctly  2467ms
   ✓ pg Driver > pg polymorphic collection reads > equal ids in two target tables return two correctly tagged rows  3829ms
   ✓ pg Driver > pg polymorphic collection reads > order, window and distinct stay ARM-LOCAL  3388ms
   ✓ pg Driver > pg polymorphic collection reads > a negative arm take restores the logical order  2147ms
   ✓ pg Driver > pg polymorphic collection reads > only narrows the returned variants without reordering  2065ms
   ✓ pg Driver > pg polymorphic collection reads > total and filtered counts, and count ordering  2906ms
   ✓ pg Driver > pg polymorphic collection reads > some / every / none over a MIXED-VARIANT truth table  7127ms
   ✓ pg Driver > pg polymorphic collection reads > an owner-scoped orphan fails the read, even hidden behind only  1657ms
   ✓ pg Driver > pg polymorphic collection reads > a singular inverse returns one row or null, and a plural one an array  1820ms
   ✓ pg Driver > pg polymorphic collection reads > a singular-inverse duplicate fails BEFORE the LIMIT  2498ms
