
 RUN  v3.1.4 /Users/arnaud/code/viborm

(node:65243) DeprecationWarning: Calling client.query() when the client is already executing a query is deprecated and will be removed in pg@9.0. Use async/await or an external async flow control mechanism instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
 ✓ |provider-pg| tests/providers/docker/pg-nested-write-races.test.ts (95 tests) 100103ms
   ✓ pg Driver > pg upsert atomicity behavior > plain upsert creates the row when missing  1005ms
   ✓ pg Driver > pg upsert atomicity behavior > plain upsert updates the row when present  992ms
   ✓ pg Driver > pg upsert atomicity behavior > does not take the update branch for a conflict outside the requested target  990ms
   ✓ pg Driver > pg upsert atomicity behavior > unique upsert targets distinguish case, accents, and trailing spaces  969ms
   ✓ pg Driver > pg upsert atomicity behavior > plain upsert returns the row when the update is a no-op  972ms
   ✓ pg Driver > pg upsert atomicity behavior > plain upsert create branch resolves auto-increment ids  987ms
   ✓ pg Driver > pg upsert atomicity behavior > upsert update branch may rewrite the unique where field  953ms
   ✓ pg Driver > pg upsert atomicity behavior > upsert supports select on both branches  968ms
   ✓ pg Driver > pg upsert atomicity behavior > upsert with include returns the relation payload on both branches  983ms
   ✓ pg Driver > pg upsert atomicity behavior > delete with include returns the relation payload  983ms
   ✓ pg Driver > pg upsert atomicity behavior > concurrent plain upserts of the same missing key both succeed  974ms
   ✓ pg Driver > pg upsert atomicity behavior > concurrent fallback upserts of the same missing key both succeed  989ms
   ✓ pg Driver > pg nested-write concurrency behavior > concurrent upsert of a missing key converges to one row (tx)  1066ms
   ✓ pg Driver > pg nested-write concurrency behavior > concurrent nested connectOrCreate of a missing key converges to one row (tx)  1094ms
   ✓ pg Driver > pg nested-write concurrency behavior > concurrent upsert of a missing key converges to one row (batch)  1106ms
   ✓ pg Driver > pg nested-write concurrency behavior > concurrent nested connectOrCreate of a missing key converges to one row (batch)  1075ms
   ✓ pg Driver > pg nested-write concurrency behavior > planned-path create-branch race loser surfaces a UniqueConstraintError, then the retry converges  1090ms
   ✓ pg Driver > pg singular polymorphic slot transfer under concurrency > two adopters of a held target leave one membership owned by an adopter that succeeded (tx)  1072ms
   ✓ pg Driver > pg singular polymorphic slot transfer under concurrency > two adopters of an empty slot are arbitrated to one membership (tx)  1047ms
   ✓ pg Driver > pg singular polymorphic slot transfer under concurrency > two adopters of a held target leave one membership owned by an adopter that succeeded (batch)  1042ms
