
 RUN  v3.1.4 /Users/arnaud/code/viborm

(node:6776) DeprecationWarning: Calling client.query() when the client is already executing a query is deprecated and will be removed in pg@9.0. Use async/await or an external async flow control mechanism instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
 ✓ |provider-pg| tests/providers/docker/pg.test.ts (227 tests | 7 skipped) 278264ms
   ✓ pg Driver > pg GeoPoint behavior > round-trips point writes and returning projections  1922ms
   ✓ pg Driver > pg GeoPoint behavior > uses coordinate equality and inclusive ordinary and crossing bounds  1408ms
   ✓ pg Driver > pg GeoPoint behavior > preserves point values through callback and array transactions  1405ms
   ✓ pg Driver > pg GeoPoint behavior > parses points in ordinary and variant relation graphs  1420ms
   ✓ pg Driver > pg GeoPoint behavior > keeps cached point results detached and fresh  1344ms
   ✓ pg Driver > pg GeoPoint behavior > preserves point semantics through request and statement extensions  1336ms
   ✓ pg Driver > pg GeoPoint behavior > leaves tagged and unsafe raw point results physical  1338ms
   ✓ pg Driver > pg GeoPoint behavior > uses the fixed-radius metric for filtering, selection, and ordering  1477ms
   ✓ pg Driver > pg GeoPoint behavior > keeps every distance boundary exact across null, polar, and world-wide cases  1441ms
   ✓ pg Driver > pg GeoPoint behavior > includes polygon boundaries and excludes holes  1461ms
   ✓ pg Driver > pg GeoPoint migration lifecycle > converges through generated apply, verify, down, and reset  4671ms
   ✓ pg Driver > pg GeoPoint spatial-index planning > plans indexed bounds, polygon, and positive upper-distance predicates  2610ms
   ✓ pg Driver > pg GeoPoint spatial-index planning > keeps canonical dateline predicates exact for a physical -180 longitude  1331ms
   ✓ pg Driver > pg GeoPoint spatial-index planning > executes the bound fixed-radius ORM distance expression  1450ms
   ✓ pg Driver > pg GeoPoint spatial-index planning > keeps PostGIS extension relations outside the managed estate  2069ms
   ✓ pg Driver > Driver Creation > creates driver with connection string  612ms
   ✓ pg Driver > Driver Creation > creates driver with options  385ms
   ✓ pg Driver > attributes a sequential atomic-batch failure to its exact statement  1171ms
   ✓ pg Driver > Raw SQL Execution > executes INSERT and returns row count  1196ms
   ✓ pg Driver > Raw SQL Execution > executes SELECT and returns rows  1273ms
   ✓ pg Driver > Raw SQL Execution > executes UPDATE and returns affected count  1199ms
   ✓ pg Driver > Raw SQL Execution > executes DELETE and returns affected count  1172ms
   ✓ pg Driver > Transactions > commits transaction on success  1234ms
   ✓ pg Driver > Transactions > rolls back transaction on error  1168ms
   ✓ pg Driver > Transactions > supports nested transactions with savepoints  1498ms
   ✓ pg Driver > Transactions > rejects removed isolation before opening a transaction  1243ms
   ✓ pg Driver > VibORM Client Integration > creates client with schema  563ms
   ✓ pg Driver > VibORM Client Integration > performs CRUD operations via client  1016ms
   ✓ pg Driver > VibORM Client Integration > performs transactions via client  1312ms
   ✓ pg Driver > VibORM Client Integration > rejects removed isolation at the client boundary  1253ms
   ✓ pg Driver > pg list/json filter and update behavior > list round-trip > create returns real arrays with typed elements  1064ms
   ✓ pg Driver > pg list/json filter and update behavior > list round-trip > empty and null lists round-trip  1030ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > equals matches the exact list  1061ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > equals is order-sensitive  1134ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > equals matches empty lists  1073ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > equals matches int lists  1270ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > equals null matches null lists only  1138ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > not excludes the matching list and null lists  1255ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > has matches string elements  1322ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > has matches int elements  1279ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > has with no match returns empty  1112ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > has null is rejected consistently  1222ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > hasEvery requires all elements  1167ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > hasSome requires any element  1316ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > DateTime membership uses the same values as the stored list  1370ms
   ✓ pg Driver > pg list/json filter and update behavior > list filters > isEmpty treats null lists as empty on every dialect  1291ms
   ✓ pg Driver > pg list/json filter and update behavior > list updates > set replaces the whole list  1477ms
   ✓ pg Driver > pg list/json filter and update behavior > list updates > push appends a single value  1192ms
   ✓ pg Driver > pg list/json filter and update behavior > list updates > push expands an array value element-wise  1238ms
   ✓ pg Driver > pg list/json filter and update behavior > list updates > push appends int elements  1377ms
   ✓ pg Driver > pg list/json filter and update behavior > list updates > push onto an empty list  1507ms
   ✓ pg Driver > pg list/json filter and update behavior > list updates > push onto a null list creates the list  1424ms
   ✓ pg Driver > pg list/json filter and update behavior > list updates > unshift prepends a single value  1263ms
   ✓ pg Driver > pg list/json filter and update behavior > list updates > unshift expands an array value element-wise  1121ms
   ✓ pg Driver > pg list/json filter and update behavior > json filters > equals matches the exact document  1344ms
   ✓ pg Driver > pg list/json filter and update behavior > json filters > equals does not match a partial document  1540ms
   ✓ pg Driver > pg list/json filter and update behavior > json filters > equals null matches null json only  1445ms
   ✓ pg Driver > pg list/json filter and update behavior > json filters > not equals excludes the matching document and nulls  1184ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > equals at a path matches the scoped value  1135ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > equals at a nested path  1146ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > equals at a path matches numbers  1244ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > equals at a path matches whole sub-documents  1218ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > equals at a missing path matches nothing  1154ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > equals null at a path matches JSON null, not missing keys  1151ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > integer path segments address array elements  1048ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > path segments with dots stay literal  1167ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > non-portable JSON path segments reject before execution  1121ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > string_contains at a path  1123ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > string_starts_with and string_ends_with combine as AND  1160ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > JSON string ops are exact across case, wildcards, and Unicode  1127ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > string_contains without a path matches string roots  1142ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > array_contains requires every candidate element  1862ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > array_contains accepts a scalar candidate  1332ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > array_contains without a path matches array roots only  1087ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > array_starts_with matches the first element  1512ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > array_ends_with matches the last element  1321ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > not at a path inherits the path  1176ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > mode: insensitive > folds ASCII A-Z on all three string operators  1121ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > mode: insensitive > mode: default keeps the exact-text contract  1211ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > mode: insensitive > folds ASCII only — accents are never case-folded  1442ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > mode: insensitive > wildcards stay literal under the fold  1348ms
   ✓ pg Driver > pg list/json filter and update behavior > json path filters > mode: insensitive > a nested not inherits the mode  1233ms
