
 RUN  v3.1.4 /Users/arnaud/code/viborm

(node:62893) DeprecationWarning: Calling client.query() when the client is already executing a query is deprecated and will be removed in pg@9.0. Use async/await or an external async flow control mechanism instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
 ✓ |provider-pg| tests/providers/docker/pg-nested-write-races.test.ts (95 tests) 109930ms
   ✓ pg Driver > pg upsert atomicity behavior > plain upsert creates the row when missing  1090ms
   ✓ pg Driver > pg upsert atomicity behavior > plain upsert updates the row when present  1066ms
   ✓ pg Driver > pg upsert atomicity behavior > does not take the update branch for a conflict outside the requested target  1093ms
   ✓ pg Driver > pg upsert atomicity behavior > unique upsert targets distinguish case, accents, and trailing spaces  1034ms
   ✓ pg Driver > pg upsert atomicity behavior > plain upsert returns the row when the update is a no-op  1001ms
   ✓ pg Driver > pg upsert atomicity behavior > plain upsert create branch resolves auto-increment ids  1037ms
   ✓ pg Driver > pg upsert atomicity behavior > upsert update branch may rewrite the unique where field  1011ms
   ✓ pg Driver > pg upsert atomicity behavior > upsert supports select on both branches  1016ms
   ✓ pg Driver > pg upsert atomicity behavior > upsert with include returns the relation payload on both branches  1042ms
   ✓ pg Driver > pg upsert atomicity behavior > delete with include returns the relation payload  1041ms
   ✓ pg Driver > pg upsert atomicity behavior > concurrent plain upserts of the same missing key both succeed  1135ms
   ✓ pg Driver > pg upsert atomicity behavior > concurrent fallback upserts of the same missing key both succeed  1077ms
   ✓ pg Driver > pg nested-write concurrency behavior > concurrent upsert of a missing key converges to one row (tx)  1331ms
   ✓ pg Driver > pg nested-write concurrency behavior > concurrent nested connectOrCreate of a missing key converges to one row (tx)  1309ms
   ✓ pg Driver > pg nested-write concurrency behavior > concurrent upsert of a missing key converges to one row (batch)  1319ms
   ✓ pg Driver > pg nested-write concurrency behavior > concurrent nested connectOrCreate of a missing key converges to one row (batch)  1241ms
   ✓ pg Driver > pg nested-write concurrency behavior > planned-path create-branch race loser surfaces a UniqueConstraintError, then the retry converges  1217ms
   ✓ pg Driver > pg singular polymorphic slot transfer under concurrency > two adopters of a held target leave one membership owned by an adopter that succeeded (tx)  1186ms
   ✓ pg Driver > pg singular polymorphic slot transfer under concurrency > two adopters of an empty slot are arbitrated to one membership (tx)  1122ms
   ✓ pg Driver > pg singular polymorphic slot transfer under concurrency > two adopters of a held target leave one membership owned by an adopter that succeeded (batch)  1160ms
   ✓ pg Driver > pg singular polymorphic slot transfer under concurrency > two adopters of an empty slot are arbitrated to one membership (batch)  1170ms
   ✓ pg Driver > pg singular polymorphic slot transfer under concurrency > an adopter whose captured owner was replaced aborts, re-plans once, and converges  1234ms
   ✓ pg Driver > pg singular polymorphic slot transfer under concurrency > two adopters that captured the SAME old owner produce exactly one winner  1146ms
   ✓ pg Driver > pg singular polymorphic slot transfer under concurrency > two adopters that both observed the slot EMPTY produce exactly one winner  1146ms
   ✓ pg Driver > pg filtered m2m deleteMany staleness > a member added after the plan-time read aborts the guard, then the retry converges  1561ms
   ✓ pg Driver > pg nested write behavior > declares an atomic strategy for nested writes  1265ms
   ✓ pg Driver > pg nested write behavior > rejects default-only createMany duplicate skipping before writing  1286ms
   ✓ pg Driver > pg nested write behavior > rejects nested default-only duplicate skipping before the parent write  1218ms
   ✓ pg Driver > pg nested write behavior > create derives to-one and to-many foreign keys  1175ms
   ✓ pg Driver > pg nested write behavior > create connects and connect-or-creates nullable children  1201ms
   ✓ pg Driver > pg nested write behavior > update creates, createManys, and connects children  1251ms
   ✓ pg Driver > pg nested write behavior > update disconnects and sets nullable children  1266ms
   ✓ pg Driver > pg nested write behavior > update and updateMany keep child mutations parent-correlated  1266ms
   ✓ pg Driver > pg nested write behavior > delete and deleteMany keep child mutations parent-correlated  1277ms
   ✓ pg Driver > pg nested write behavior > to-many upsert creates and updates the current parent's child  1256ms
   ✓ pg Driver > pg nested write behavior > to-one upsert creates and updates the current target  1224ms
   ✓ pg Driver > pg nested write behavior > to-one nested update modifies the connected author  1217ms
   ✓ pg Driver > pg nested write behavior > to-one disconnect true nulls the foreign key, both rows survive  1230ms
   ✓ pg Driver > pg nested write behavior > to-one delete true deletes the related row  1288ms
   ✓ pg Driver > pg nested write behavior > to-one delete true (FK-holder side) nulls the FK then deletes the author  1334ms
   ✓ pg Driver > pg nested write behavior > inverse-side to-one upsert: absent creates, found updates, witness survives  1199ms
   ✓ pg Driver > pg nested write behavior > explicit join rows work as a practical many-to-many case  1208ms
   ✓ pg Driver > pg nested write behavior > unsupported nested create keys reject before parent mutation  1194ms
   ✓ pg Driver > pg nested write behavior > nested child failures roll back parent and prior children  1212ms
   ✓ pg Driver > pg nested write behavior > to-many updates cannot target another parent's child  1221ms
   ✓ pg Driver > pg nested write behavior > non-nullable child foreign keys reject disconnect atomically  1256ms
   ✓ pg Driver > pg nested write behavior > nested create propagates foreign keys through mapped columns  1243ms
   ✓ pg Driver > pg nested write behavior > nested create derives mapped foreign keys for createMany and connect  1154ms
